TowerId,Timestamp,Temperature,Humidity,Pressure,GasResistance,Altitude,Voltage
1,2025-04-22T22:52:00Z,25.24,51.49,1001.47,3.62,98.46,11.43
1,2025-04-22T22:54:00Z,25.13,51.35,1001.48,4.67,98.37,11.36
1,2025-04-22T22:56:00Z,25.08,51.44,1001.49,5.64,98.37,11.54
1,2025-04-22T22:57:00Z,25.05,51.62,1001.49,6.44,98.29,11.21
1,2025-04-22T22:59:00Z,25.04,51.62,1001.51,7.17,98.21,11.49
1,2025-04-22T23:01:00Z,25.04,51.69,1001.51,7.74,98.12,11.44
1,2025-04-22T23:02:00Z,25.03,52.21,1001.51,8.18,98.12,11.16
1,2025-04-22T23:04:00Z,25.03,52.2,1001.51,8.56,98.12,11.38
1,2025-04-22T23:06:00Z,25.05,52.57,1001.51,8.83,98.21,11.44
1,2025-04-22T23:07:00Z,25.08,52.78,1001.51,9.05,98.12,11.48
1,2025-04-22T23:15:00Z,25.55,54.1,1001.58,8.97,97.53,11.45
1,2025-04-22T23:17:00Z,25.37,54.5,1001.59,9.08,97.45,11.36
1,2025-04-22T23:19:00Z,25.27,54.58,1001.58,9.34,97.62,11.43
1,2025-04-22T23:20:00Z,25.19,54.99,1001.57,9.49,97.62,11.43
1,2025-04-22T23:22:00Z,25.08,55.73,1001.57,9.58,97.7,11.43
1,2025-04-22T23:24:00Z,24.98,55.86,1001.57,9.73,97.62,11.24
1,2025-04-22T23:25:00Z,24.93,55.89,1001.57,9.75,97.7,11.35
1,2025-04-22T23:27:00Z,24.93,55.87,1001.56,9.84,97.87,11.35
1,2025-04-22T23:29:00Z,24.89,56.18,1001.54,9.91,97.95,11.39
1,2025-04-22T23:30:00Z,24.84,56.56,1001.52,9.96,98.21,11.25
1,2025-04-22T23:32:00Z,24.79,56.7,1001.5,9.98,98.29,11.29
1,2025-04-22T23:34:00Z,24.74,56.82,1001.49,10.01,98.37,11.24
1,2025-04-22T23:35:00Z,24.71,56.79,1001.48,10.05,98.37,11.38
1,2025-04-22T23:37:00Z,24.67,56.97,1001.48,10.08,98.54,11.16
1,2025-04-22T23:39:00Z,24.66,56.78,1001.46,10.13,98.63,11.17
1,2025-04-22T23:40:00Z,24.65,56.93,1001.47,10.12,98.63,11.39
1,2025-04-22T23:42:00Z,24.64,56.7,1001.46,10.15,98.54,11.38
1,2025-04-22T23:44:00Z,24.62,56.83,1001.48,10.2,98.46,11.45
1,2025-04-22T23:45:00Z,24.59,56.77,1001.48,10.26,98.37,11.14
1,2025-04-22T23:47:00Z,24.58,54.92,1001.48,10.28,98.46,11.43
1,2025-04-22T23:49:00Z,24.6,53.54,1001.47,10.44,98.54,11.31
1,2025-04-22T23:50:00Z,24.61,53.52,1001.45,10.55,98.79,11.42
1,2025-04-22T23:52:00Z,24.55,53.83,1001.43,10.59,98.88,11.37
1,2025-04-22T23:54:00Z,24.48,53.73,1001.41,10.6,99.21,11.44
1,2025-04-22T23:55:00Z,24.42,53.94,1001.38,10.63,99.3,11.41
1,2025-04-22T23:57:00Z,24.36,53.88,1001.37,10.61,99.47,11.4
1,2025-04-22T23:59:00Z,24.31,53.64,1001.35,10.63,99.63,11.28
1,2025-04-23T00:00:00Z,24.28,53.45,1001.32,10.62,99.8,11.47
1,2025-04-23T00:02:00Z,24.28,53.31,1001.31,10.6,99.89,11.43
1,2025-04-23T00:04:00Z,24.26,53.18,1001.3,10.6,99.97,11.29
1,2025-04-23T00:05:00Z,24.23,52.8,1001.3,10.66,99.97,11.11
1,2025-04-23T00:07:00Z,24.2,52.83,1001.29,10.65,100.05,11.36
1,2025-04-23T00:09:00Z,24.16,52.41,1001.27,10.75,100.14,11.42
1,2025-04-23T00:10:00Z,24.12,52.22,1001.27,10.82,100.31,11.3
